,Longitudes,Latitudes
0,78.1786095,18.691521299999998
1,51.36498265,24.8936936
2,75.1520915,33.86512435
3,72.35549850000001,30.864107500000003
4,75.1520915,33.86512435
5,88.35224200000002,22.6127055
6,72.35549850000001,30.864107500000003
7,82.5841815,19.9387045
8,74.82682565,34.06254155
9,81.8644645,21.2814035
10,-79.42086499999999,38.003375500000004
11,4.3640877,51.9994547
12,85.29276999999999,25.5082565
13,81.8644645,21.2814035
14,-1.8906405,52.4939665
15,73.8178207,15.58721065
16,72.35549850000001,30.864107500000003
17,77.5564225,13.075209
18,75.96818400000001,22.6714825
19,75.96818400000001,22.6714825
20,73.0768205,33.712430999999995
21,76.7159785,23.3932015
22,77.095086,28.6384895
23,72.874244,19.17414
24,77.5584482,12.923114649999999
25,75.85974300000001,25.021983999999996
26,-97.552161,35.4828435
27,-97.552161,35.4828435
28,74.3584865,31.531819499999997
29,75.74752075,26.9096832
30,72.636678,22.980926999999998
31,73.8843818,18.52076405
32,72.874244,19.17414
33,75.1520915,33.86512435
34,72.874244,19.17414
35,80.88440750000001,26.8251695
36,75.0684066,32.65784815
37,76.42905465000001,34.67690515
38,73.03794500000001,33.603096
39,77.5584482,12.923114649999999
40,80.30545368390348,26.449356511758864
41,84.440852,20.188653000000002
42,75.1520915,33.86512435
43,73.91007735,18.50816125
44,-79.2725695,43.629311
45,76.64565995,12.284442349999999
46,75.0684066,32.65784815
47,77.095086,28.6384895
48,75.1520915,33.86512435
49,77.095086,28.6384895
50,53.83778635,24.4542542
51,76.974691,28.368524999999998
52,68.88915850000001,26.116357
53,88.35224200000002,22.6127055
54,75.414748,31.060139000000003
55,75.0684066,32.65784815
56,77.095086,28.6384895
57,68.88915850000001,26.116357
58,68.88915850000001,26.116357
59,55.551172349999995,24.99346225
60,80.27418745,13.1065814
61,76.42905465000001,34.67690515
62,72.35549850000001,30.864107500000003
63,77.095086,28.6384895
64,77.095086,28.6384895
65,77.095086,28.6384895
66,76.59674150000001,28.892772
67,-77.101999,38.8808445
68,76.42905465000001,34.67690515
69,-77.101999,38.8808445
70,77.095086,28.6384895
71,72.874244,19.17414
72,81.8644645,21.2814035
73,74.73630415,34.17713365
